PostNumber,SymptomName,PostLink,Drugs,Treatment,BodyParts,Title,Author,Total_Replies,Total_Weight
1,"['Sexually Transmitted Diseases', 'PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/live-science-official-community-rules.4256/,"[nan, nan, nan, nan, nan, nan, nan]","[nan, nan, 'Transjugular intrahepatic portosystemic shunt procedure', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Tannenbaum electroanalgesia method', 'Discussion (procedure)', nan]","[nan, nan, nan, nan, nan, nan, 'Common carotid artery']",live science official community rules,,2,150.0
2,"['Multi-infarct dementia', 'Subacute thyroiditis', 'Communicable Diseases', 'Heparin-induced thrombocytopenia', 'Common Cold', 'Influenza', 'Cancer-Associated Retinopathy', 'Coronavirus Infections', 'Acute gastroenteritis', 'Gonorrhea', 'Geroderma osteodysplastica', 'flu symptoms', 'Infantile Neuroaxonal Dystrophy', 'Total Hypotrichosis, Mari type', ""Little's Disease"", 'Simian Acquired Immunodeficiency Syndrome', 'Wiskott-Aldrich Syndrome', 'Disease', 'Severe diarrhea', 'Fatigue', 'Headache', 'Pain', 'Chest pressure', 'Stomach ache', 'Anosmia', 'Cardiovascular symptoms', 'Nausea', 'Influenza-like symptoms', 'Diarrhea and vomiting, symptom', 'Chest pain on breathing', 'Has tingling sensation', 'Congestion of throat', 'Coughing', 'Sharp pain', 'Clouded consciousness', 'Ache', 'Tired', 'Rhinorrhea', 'Actual Inability To Taste', 'Agonizing Pain', 'gastrointestinal gas', 'Chest tightness', 'Dry cough', 'Dyspnea', 'Chills', 'Sore to touch', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/what-are-the-symptoms-of-the-coronavirus.1121/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Obstetric Delivery', 'Induced abortion (procedure)', 'Adoptive Immunotherapy', 'cisplatin/etoposide/mitoxantrone/tamoxifen protocol', 'Primary operation', 'cyclophosphamide/methotrexate/prednisone/vincristine protocol', 'HAC protocol', 'Exercise Pain Management', 'Emergency Care', 'Cardiac Lead Procedure', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'medial amygdalar nucleus', 'Heart', 'Structure of retinal pigment epithelium', 'Bone structure of cranium', 'Hand', 'Lip structure', 'Stomach', 'Quarter of the Udder', 'Lung', 'Entire face', 'Entire breast', 'Entire head', 'Anus', 'Structure of supraoptic nucleus', 'Common carotid artery', 'bony process', 'Foot']",what are the symptoms of the coronavirus?,,14,725.0
3,"['Communicable Diseases', 'Heart Diseases', 'Severe Acute Respiratory Syndrome', 'Bilateral pneumonia', 'Pneumonia', 'Common Cold', 'pneumonia clinical', 'Influenza', 'Lung diseases', 'Septicemia', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/how-does-the-new-coronavirus-compare-with-the-flu.739/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Prophylactic vaccination against the common cold', 'Quarantine', 'Therapeutic procedure', 'Discussion (procedure)', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Hand', 'Lung']",how does the new coronavirus compare with the flu?,,50,2516.6666666666665
4,"['Infantile Neuroaxonal Dystrophy', 'Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Sudden infant death syndrome', 'Feline infectious peritonitis', 'Coronavirus Infections', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/are-gilead-trump-officials-and-the-nih-blocking-covid-19-treatment-research-on-gs-441524-to-allow-more-expensive-remdesivir-to-proceed.3451/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, 'DRUGS', 'Reduction - action', 'Surgical Replantation', 'Therapeutic procedure', 'Exploration procedure', nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Lung']","are gilead, trump officials and the nih blocking covid-19 treatment research on gs-441524 to allow more expensive remdesivir to proceed ?",,8,412.5
5,"['Communicable Diseases', 'Coronavirus Infections']",https://forums.livescience.com/threads/temperature-taking-in-the-workplace-what-should-be-the-frequency.3949/,"[nan, nan]","[nan, nan]","[nan, nan]","temperature taking, in the workplace, what should be the frequency?",,4,210.0
6,"['Pneumonia', 'Tuberculosis', 'Coronavirus Infections', 'nan']",https://forums.livescience.com/threads/theory-for-possible-cure-for-covid-19.1531/,"[nan, nan, nan, nan]","[nan, nan, nan, nan]","[nan, nan, nan, 'Lung']",theory for possible cure for covid-19,,4,208.33333333333334
7,"['Communicable Diseases', 'Severe Acute Respiratory Syndrome', 'Blindness of one eye (disorder)', 'Macrophage Activation Syndrome', 'Syndrome', 'Bubonic Plague', 'Coronavirus Infections', 'Disease', 'Mass of body region', 'Sighing respiration', 'Muscle Cramp', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/do-you-think-this-out-of-the-box-solution-can-stop-the-pandemic-in-14-days.1601/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Quarantine', 'Chinese herbal medicine', 'Prophylactic treatment', 'Isolation procedure', 'Vaccination', 'Release (procedure)', 'Therapeutic procedure', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Entire head', 'Eye']",do you think this out of the box solution can stop the pandemic in 14 days?,,50,2507.1428571428573
8,"['Specific viral infections', 'reproductive system disorder', 'Communicable Diseases', 'Common Cold', 'Influenza', 'Respiration Disorders', 'Pyotraumatic dermatitis', 'Coronavirus Infections', 'Weakness', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/an-alternative-to-vaccination-for-covid-19.2726/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Inoculation', 'Isolation procedure', 'Vaccination', 'Detection', 'Providing presence (regime/therapy)', 'Discussion (procedure)', nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Organ', 'Integumentary scale', 'Pharyngeal structure', 'bony process', 'Lung']",an alternative to vaccination for covid-19.,,10,506.25
9,"['Pneumonia', 'Influenza', 'Coronavirus Infections']",https://forums.livescience.com/threads/indications-sars-cov-2-was-present-earlier-than-thought.2924/,"[nan, nan, nan]","[nan, nan, nan]","[nan, nan, nan]",indications sars-cov-2 was present earlier than thought.,,6,305.55555555555554
10,"['Poliomyelitis', 'Heparin-induced thrombocytopenia', 'Influenza', 'Influenza due to Influenza A virus subtype H1N1', 'West Nile viral infection', 'Myelitis', 'Upper Respiratory Infections', 'Coronavirus Infections', 'Rhinorrhea', 'Myalgia', 'Weakness', 'Headache', 'Coughing', 'nan', 'nan', 'nan', 'nan', 'nan']",https://forums.livescience.com/threads/why-are-children-missing-from-coronavirus-outbreak-cases.809/,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Primary operation', 'Vaccination', 'Coronavirus vaccination', nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Set of muscles', 'Lung']",why are children 'missing' from coronavirus outbreak cases?,,50,2505.0
